id,name,town,county,vid,tid,cid,icid,itid,ivid,code
09007010-001,介壽村,南竿鄉,連江縣,001,09007010,09007,LJF,LJF-010,LJF-010-001,
09007010-002,復興村,南竿鄉,連江縣,002,09007010,09007,LJF,LJF-010,LJF-010-002,
09007010-003,福沃村,南竿鄉,連江縣,003,09007010,09007,LJF,LJF-010,LJF-010-003,
09007010-004,清水村,南竿鄉,連江縣,004,09007010,09007,LJF,LJF-010,LJF-010-004,
09007010-005,仁愛村,南竿鄉,連江縣,005,09007010,09007,LJF,LJF-010,LJF-010-005,
09007010-006,津沙村,南竿鄉,連江縣,006,09007010,09007,LJF,LJF-010,LJF-010-006,
09007010-007,馬祖村,南竿鄉,連江縣,007,09007010,09007,LJF,LJF-010,LJF-010-007,
09007010-008,珠螺村,南竿鄉,連江縣,008,09007010,09007,LJF,LJF-010,LJF-010-008,
09007010-009,四維村,南竿鄉,連江縣,009,09007010,09007,LJF,LJF-010,LJF-010-009,
09007020-001,塘岐村,北竿鄉,連江縣,001,09007020,09007,LJF,LJF-020,LJF-020-001,
09007020-002,后沃村,北竿鄉,連江縣,002,09007020,09007,LJF,LJF-020,LJF-020-002,
09007020-003,橋仔村,北竿鄉,連江縣,003,09007020,09007,LJF,LJF-020,LJF-020-003,
09007020-004,芹壁村,北竿鄉,連江縣,004,09007020,09007,LJF,LJF-020,LJF-020-004,
09007020-005,坂里村,北竿鄉,連江縣,005,09007020,09007,LJF,LJF-020,LJF-020-005,
09007020-006,白沙村,北竿鄉,連江縣,006,09007020,09007,LJF,LJF-020,LJF-020-006,
09007030-001,青帆村,莒光鄉,連江縣,001,09007030,09007,LJF,LJF-030,LJF-030-001,
09007030-002,田沃村,莒光鄉,連江縣,002,09007030,09007,LJF,LJF-030,LJF-030-002,
09007030-003,西坵村,莒光鄉,連江縣,003,09007030,09007,LJF,LJF-030,LJF-030-003,
09007030-004,福正村,莒光鄉,連江縣,004,09007030,09007,LJF,LJF-030,LJF-030-004,
09007030-005,大坪村,莒光鄉,連江縣,005,09007030,09007,LJF,LJF-030,LJF-030-005,
09007040-001,中柳村,東引鄉,連江縣,001,09007040,09007,LJF,LJF-040,LJF-040-001,
09007040-002,樂華村,東引鄉,連江縣,002,09007040,09007,LJF,LJF-040,LJF-040-002,
09020010-001,東門里,金城鎮,金門縣,001,09020010,09020,JME,JME-010,JME-010-001,
09020010-002,西門里,金城鎮,金門縣,002,09020010,09020,JME,JME-010,JME-010-002,
09020010-003,南門里,金城鎮,金門縣,003,09020010,09020,JME,JME-010,JME-010-003,
09020010-004,北門里,金城鎮,金門縣,004,09020010,09020,JME,JME-010,JME-010-004,
09020010-005,古城里,金城鎮,金門縣,005,09020010,09020,JME,JME-010,JME-010-005,
09020010-006,金水里,金城鎮,金門縣,006,09020010,09020,JME,JME-010,JME-010-006,
09020010-007,珠沙里,金城鎮,金門縣,007,09020010,09020,JME,JME-010,JME-010-007,
09020010-008,賢庵里,金城鎮,金門縣,008,09020010,09020,JME,JME-010,JME-010-008,
09020020-001,汶沙里,金沙鎮,金門縣,001,09020020,09020,JME,JME-020,JME-020-001,
09020020-002,三山里,金沙鎮,金門縣,002,09020020,09020,JME,JME-020,JME-020-002,
09020020-003,大洋里,金沙鎮,金門縣,003,09020020,09020,JME,JME-020,JME-020-003,
09020020-004,光前里,金沙鎮,金門縣,004,09020020,09020,JME,JME-020,JME-020-004,
09020020-005,何斗里,金沙鎮,金門縣,005,09020020,09020,JME,JME-020,JME-020-005,
09020020-006,西園里,金沙鎮,金門縣,006,09020020,09020,JME,JME-020,JME-020-006,
09020020-007,官嶼里,金沙鎮,金門縣,007,09020020,09020,JME,JME-020,JME-020-007,
09020020-008,浦山里,金沙鎮,金門縣,008,09020020,09020,JME,JME-020,JME-020-008,
09020030-001,新市里,金湖鎮,金門縣,001,09020030,09020,JME,JME-030,JME-030-001,
09020030-002,山外里,金湖鎮,金門縣,002,09020030,09020,JME,JME-030,JME-030-002,
09020030-003,正義里,金湖鎮,金門縣,003,09020030,09020,JME,JME-030,JME-030-003,
09020030-004,料羅里,金湖鎮,金門縣,004,09020030,09020,JME,JME-030,JME-030-004,
09020030-005,瓊林里,金湖鎮,金門縣,005,09020030,09020,JME,JME-030,JME-030-005,
09020030-006,新湖里,金湖鎮,金門縣,006,09020030,09020,JME,JME-030,JME-030-006,
09020030-007,溪湖里,金湖鎮,金門縣,007,09020030,09020,JME,JME-030,JME-030-007,
09020030-008,蓮庵里,金湖鎮,金門縣,008,09020030,09020,JME,JME-030,JME-030-008,
