id,name,town,county,vid,tid,cid,icid,itid,ivid,code
09020040-001,古寧村,金寧鄉,金門縣,001,09020040,09020,JME,JME-040,JME-040-001,
09020040-002,安美村,金寧鄉,金門縣,002,09020040,09020,JME,JME-040,JME-040-002,
09020040-003,后盤村,金寧鄉,金門縣,003,09020040,09020,JME,JME-040,JME-040-003,
09020040-004,湖埔村,金寧鄉,金門縣,004,09020040,09020,JME,JME-040,JME-040-004,
09020040-005,榜林村,金寧鄉,金門縣,005,09020040,09020,JME,JME-040,JME-040-005,
09020040-006,盤山村,金寧鄉,金門縣,006,09020040,09020,JME,JME-040,JME-040-006,
09020050-001,上岐村,烈嶼鄉,金門縣,001,09020050,09020,JME,JME-050,JME-050-001,
09020050-002,上林村,烈嶼鄉,金門縣,002,09020050,09020,JME,JME-050,JME-050-002,
09020050-003,西口村,烈嶼鄉,金門縣,003,09020050,09020,JME,JME-050,JME-050-003,
09020050-004,林湖村,烈嶼鄉,金門縣,004,09020050,09020,JME,JME-050,JME-050-004,
09020050-005,黃埔村,烈嶼鄉,金門縣,005,09020050,09020,JME,JME-050,JME-050-005,
09020060-001,大坵村,烏坵鄉,金門縣,001,09020060,09060,JME,JME-020,JME-060-001,
09020060-002,小坵村,烏坵鄉,金門縣,001,09020060,09060,JME,JME-020,JME-060-002,
10002010-001,神農里,宜蘭市,宜蘭縣,001,10002010,10002,ILA,ILA-010,ILA-010-001,A0201-001-00
10002010-002,民權里,宜蘭市,宜蘭縣,002,10002010,10002,ILA,ILA-010,ILA-010-002,A0201-002-00
10002010-003,民生里,宜蘭市,宜蘭縣,003,10002010,10002,ILA,ILA-010,ILA-010-003,A0201-003-00
10002010-004,昇平里,宜蘭市,宜蘭縣,004,10002010,10002,ILA,ILA-010,ILA-010-004,A0201-004-00
10002010-005,大東里,宜蘭市,宜蘭縣,005,10002010,10002,ILA,ILA-010,ILA-010-005,A0201-005-00
10002010-006,新興里,宜蘭市,宜蘭縣,006,10002010,10002,ILA,ILA-010,ILA-010-006,A0201-006-00
10002010-007,和睦里,宜蘭市,宜蘭縣,007,10002010,10002,ILA,ILA-010,ILA-010-007,A0201-007-00
10002010-008,進士里,宜蘭市,宜蘭縣,008,10002010,10002,ILA,ILA-010,ILA-010-008,A0201-008-00
10002010-009,南橋里,宜蘭市,宜蘭縣,009,10002010,10002,ILA,ILA-010,ILA-010-009,A0201-009-00
10002010-010,建業里,宜蘭市,宜蘭縣,010,10002010,10002,ILA,ILA-010,ILA-010-010,A0201-010-00
10002010-011,南津里,宜蘭市,宜蘭縣,011,10002010,10002,ILA,ILA-010,ILA-010-011,A0201-011-00
10002010-012,凱旋里,宜蘭市,宜蘭縣,012,10002010,10002,ILA,ILA-010,ILA-010-012,A0201-012-00
10002010-013,黎明里,宜蘭市,宜蘭縣,013,10002010,10002,ILA,ILA-010,ILA-010-013,A0201-013-00
10002010-014,東村里,宜蘭市,宜蘭縣,014,10002010,10002,ILA,ILA-010,ILA-010-014,A0201-014-00
10002010-015,延平里,宜蘭市,宜蘭縣,015,10002010,10002,ILA,ILA-010,ILA-010-015,A0201-015-00
10002010-016,七張里,宜蘭市,宜蘭縣,016,10002010,10002,ILA,ILA-010,ILA-010-016,A0201-016-00
10002010-017,慈安里,宜蘭市,宜蘭縣,017,10002010,10002,ILA,ILA-010,ILA-010-017,A0201-017-00
10002010-018,新民里,宜蘭市,宜蘭縣,018,10002010,10002,ILA,ILA-010,ILA-010-018,A0201-018-00
10002010-019,東門里,宜蘭市,宜蘭縣,019,10002010,10002,ILA,ILA-010,ILA-010-019,A0201-019-00
10002010-020,中正里,宜蘭市,宜蘭縣,020,10002010,10002,ILA,ILA-010,ILA-010-020,A0201-020-00
10002010-021,小東里,宜蘭市,宜蘭縣,021,10002010,10002,ILA,ILA-010,ILA-010-021,A0201-021-00
10002010-022,菜園里,宜蘭市,宜蘭縣,022,10002010,10002,ILA,ILA-010,ILA-010-022,A0201-022-00
10002010-023,孝廉里,宜蘭市,宜蘭縣,023,10002010,10002,ILA,ILA-010,ILA-010-023,A0201-023-00
10002010-024,新生里,宜蘭市,宜蘭縣,024,10002010,10002,ILA,ILA-010,ILA-010-024,A0201-024-00
10002010-025,茭白里,宜蘭市,宜蘭縣,025,10002010,10002,ILA,ILA-010,ILA-010-025,A0201-025-00
10002010-026,北津里,宜蘭市,宜蘭縣,026,10002010,10002,ILA,ILA-010,ILA-010-026,A0201-026-00
10002010-027,梅洲里,宜蘭市,宜蘭縣,027,10002010,10002,ILA,ILA-010,ILA-010-027,A0201-027-00
10002010-028,北門里,宜蘭市,宜蘭縣,028,10002010,10002,ILA,ILA-010,ILA-010-028,A0201-028-00
10002010-029,慶和里,宜蘭市,宜蘭縣,029,10002010,10002,ILA,ILA-010,ILA-010-029,A0201-029-00
10002010-030,鄂王里,宜蘭市,宜蘭縣,030,10002010,10002,ILA,ILA-010,ILA-010-030,A0201-030-00
10002010-031,中山里,宜蘭市,宜蘭縣,031,10002010,10002,ILA,ILA-010,ILA-010-031,A0201-031-00
10002010-032,西門里,宜蘭市,宜蘭縣,032,10002010,10002,ILA,ILA-010,ILA-010-032,A0201-032-00
10002010-033,大道里,宜蘭市,宜蘭縣,033,10002010,10002,ILA,ILA-010,ILA-010-033,A0201-033-00
10002010-034,南門里,宜蘭市,宜蘭縣,034,10002010,10002,ILA,ILA-010,ILA-010-034,A0201-034-00
10002010-035,負郭里,宜蘭市,宜蘭縣,035,10002010,10002,ILA,ILA-010,ILA-010-035,A0201-035-00
10002010-036,民族里,宜蘭市,宜蘭縣,036,10002010,10002,ILA,ILA-010,ILA-010-036,A0201-036-00
10002010-037,建軍里,宜蘭市,宜蘭縣,037,10002010,10002,ILA,ILA-010,ILA-010-037,A0201-037-00
10002010-038,思源里,宜蘭市,宜蘭縣,038,10002010,10002,ILA,ILA-010,ILA-010-038,A0201-038-00
10002010-039,文化里,宜蘭市,宜蘭縣,039,10002010,10002,ILA,ILA-010,ILA-010-039,A0201-039-00
10002010-040,復興里,宜蘭市,宜蘭縣,040,10002010,10002,ILA,ILA-010,ILA-010-040,A0201-040-00
10002020-004,大新里,羅東鎮,宜蘭縣,004,10002020,10002,ILA,ILA-020,ILA-020-004,A0202-004-00
10002020-005,東安里,羅東鎮,宜蘭縣,005,10002020,10002,ILA,ILA-020,ILA-020-005,A0202-005-00
10002020-006,新群里,羅東鎮,宜蘭縣,006,10002020,10002,ILA,ILA-020,ILA-020-006,A0202-006-00
10002020-007,羅莊里,羅東鎮,宜蘭縣,007,10002020,10002,ILA,ILA-020,ILA-020-007,A0202-007-00
10002020-008,南昌里,羅東鎮,宜蘭縣,008,10002020,10002,ILA,ILA-020,ILA-020-008,A0202-008-00
10002020-009,南豪里,羅東鎮,宜蘭縣,009,10002020,10002,ILA,ILA-020,ILA-020-009,A0202-009-00
10002020-010,成功里,羅東鎮,宜蘭縣,010,10002020,10002,ILA,ILA-020,ILA-020-010,A0202-010-00
10002020-011,仁德里,羅東鎮,宜蘭縣,011,10002020,10002,ILA,ILA-020,ILA-020-011,A0202-011-00
10002020-016,漢民里,羅東鎮,宜蘭縣,016,10002020,10002,ILA,ILA-020,ILA-020-016,A0202-016-00
10002020-017,西安里,羅東鎮,宜蘭縣,017,10002020,10002,ILA,ILA-020,ILA-020-017,A0202-017-00
10002020-018,北成里,羅東鎮,宜蘭縣,018,10002020,10002,ILA,ILA-020,ILA-020-018,A0202-018-00
10002020-019,賢文里,羅東鎮,宜蘭縣,019,10002020,10002,ILA,ILA-020,ILA-020-019,A0202-019-00
10002020-020,公正里,羅東鎮,宜蘭縣,020,10002020,10002,ILA,ILA-020,ILA-020-020,A0202-020-00
10002020-021,集祥里,羅東鎮,宜蘭縣,021,10002020,10002,ILA,ILA-020,ILA-020-021,A0202-021-00
10002020-022,信義里,羅東鎮,宜蘭縣,022,10002020,10002,ILA,ILA-020,ILA-020-022,A0202-022-00
10002020-023,竹林里,羅東鎮,宜蘭縣,023,10002020,10002,ILA,ILA-020,ILA-020-023,A0202-023-00
10002020-024,仁愛里,羅東鎮,宜蘭縣,024,10002020,10002,ILA,ILA-020,ILA-020-024,A0202-024-00
10002020-025,樹林里,羅東鎮,宜蘭縣,025,10002020,10002,ILA,ILA-020,ILA-020-025,A0202-025-00
10002020-026,國華里,羅東鎮,宜蘭縣,026,10002020,10002,ILA,ILA-020,ILA-020-026,A0202-026-00
10002020-027,維揚里,羅東鎮,宜蘭縣,027,10002020,10002,ILA,ILA-020,ILA-020-027,A0202-027-00
10002020-028,開明里,羅東鎮,宜蘭縣,028,10002020,10002,ILA,ILA-020,ILA-020-028,A0202-028-00
10002020-029,中山里,羅東鎮,宜蘭縣,029,10002020,10002,ILA,ILA-020,ILA-020-029,A0202-029-00
10002020-030,仁和里,羅東鎮,宜蘭縣,030,10002020,10002,ILA,ILA-020,ILA-020-030,A0202-030-00
10002030-001,龍德里,蘇澳鎮,宜蘭縣,001,10002030,10002,ILA,ILA-030,ILA-030-001,A0203-001-00
10002030-002,頂寮里,蘇澳鎮,宜蘭縣,002,10002030,10002,ILA,ILA-030,ILA-030-002,A0203-002-00
10002030-003,永榮里,蘇澳鎮,宜蘭縣,003,10002030,10002,ILA,ILA-030,ILA-030-003,A0203-003-00
10002030-004,存仁里,蘇澳鎮,宜蘭縣,004,10002030,10002,ILA,ILA-030,ILA-030-004,A0203-004-00
10002030-005,港邊里,蘇澳鎮,宜蘭縣,005,10002030,10002,ILA,ILA-030,ILA-030-005,A0203-005-00
10002030-007,隘丁里,蘇澳鎮,宜蘭縣,007,10002030,10002,ILA,ILA-030,ILA-030-007,A0203-007-00
10002030-008,新城里,蘇澳鎮,宜蘭縣,008,10002030,10002,ILA,ILA-030,ILA-030-008,A0203-008-00
10002030-009,聖湖里,蘇澳鎮,宜蘭縣,009,10002030,10002,ILA,ILA-030,ILA-030-009,A0203-009-00
10002030-010,蘇西里,蘇澳鎮,宜蘭縣,010,10002030,10002,ILA,ILA-030,ILA-030-010,A0203-010-00
10002030-011,蘇北里,蘇澳鎮,宜蘭縣,011,10002030,10002,ILA,ILA-030,ILA-030-011,A0203-011-00
10002030-012,蘇南里,蘇澳鎮,宜蘭縣,012,10002030,10002,ILA,ILA-030,ILA-030-012,A0203-012-00
10002030-013,蘇東里,蘇澳鎮,宜蘭縣,013,10002030,10002,ILA,ILA-030,ILA-030-013,A0203-013-00
10002030-014,長安里,蘇澳鎮,宜蘭縣,014,10002030,10002,ILA,ILA-030,ILA-030-014,A0203-014-00
10002030-015,永光里,蘇澳鎮,宜蘭縣,015,10002030,10002,ILA,ILA-030,ILA-030-015,A0203-015-00
10002030-016,永春里,蘇澳鎮,宜蘭縣,016,10002030,10002,ILA,ILA-030,ILA-030-016,A0203-016-00
10002030-017,永樂里,蘇澳鎮,宜蘭縣,017,10002030,10002,ILA,ILA-030,ILA-030-017,A0203-017-00
10002030-018,南安里,蘇澳鎮,宜蘭縣,018,10002030,10002,ILA,ILA-030,ILA-030-018,A0203-018-00
10002030-019,南正里,蘇澳鎮,宜蘭縣,019,10002030,10002,ILA,ILA-030,ILA-030-019,A0203-019-00
10002030-020,南成里,蘇澳鎮,宜蘭縣,020,10002030,10002,ILA,ILA-030,ILA-030-020,A0203-020-00
10002030-021,南興里,蘇澳鎮,宜蘭縣,021,10002030,10002,ILA,ILA-030,ILA-030-021,A0203-021-00
10002030-022,南寧里,蘇澳鎮,宜蘭縣,022,10002030,10002,ILA,ILA-030,ILA-030-022,A0203-022-00
10002030-023,南建里,蘇澳鎮,宜蘭縣,023,10002030,10002,ILA,ILA-030,ILA-030-023,A0203-023-00
10002030-024,東澳里,蘇澳鎮,宜蘭縣,024,10002030,10002,ILA,ILA-030,ILA-030-024,A0203-024-00
10002030-025,南強里,蘇澳鎮,宜蘭縣,025,10002030,10002,ILA,ILA-030,ILA-030-025,A0203-025-00
10002030-026,朝陽里,蘇澳鎮,宜蘭縣,026,10002030,10002,ILA,ILA-030,ILA-030-026,A0203-026-00
10002030-027,聖愛里,蘇澳鎮,宜蘭縣,027,10002030,10002,ILA,ILA-030,ILA-030-027,A0203-027-00
10002040-001,石城里,頭城鎮,宜蘭縣,001,10002040,10002,ILA,ILA-040,ILA-040-001,A0204-001-00
10002040-002,大里里,頭城鎮,宜蘭縣,002,10002040,10002,ILA,ILA-040,ILA-040-002,A0204-002-00
10002040-003,大溪里,頭城鎮,宜蘭縣,003,10002040,10002,ILA,ILA-040,ILA-040-003,A0204-003-00
10002040-004,合興里,頭城鎮,宜蘭縣,004,10002040,10002,ILA,ILA-040,ILA-040-004,A0204-004-00
10002040-005,更新里,頭城鎮,宜蘭縣,005,10002040,10002,ILA,ILA-040,ILA-040-005,A0204-005-00
10002040-006,外澳里,頭城鎮,宜蘭縣,006,10002040,10002,ILA,ILA-040,ILA-040-006,A0204-006-00
10002040-007,港口里,頭城鎮,宜蘭縣,007,10002040,10002,ILA,ILA-040,ILA-040-007,A0204-007-00
10002040-008,武營里,頭城鎮,宜蘭縣,008,10002040,10002,ILA,ILA-040,ILA-040-008,A0204-008-00
10002040-009,大坑里,頭城鎮,宜蘭縣,009,10002040,10002,ILA,ILA-040,ILA-040-009,A0204-009-00
10002040-010,城東里,頭城鎮,宜蘭縣,010,10002040,10002,ILA,ILA-040,ILA-040-010,A0204-010-00
10002040-011,城北里,頭城鎮,宜蘭縣,011,10002040,10002,ILA,ILA-040,ILA-040-011,A0204-011-00
10002040-012,城西里,頭城鎮,宜蘭縣,012,10002040,10002,ILA,ILA-040,ILA-040-012,A0204-012-00
10002040-013,城南里,頭城鎮,宜蘭縣,013,10002040,10002,ILA,ILA-040,ILA-040-013,A0204-013-00
10002040-014,竹安里,頭城鎮,宜蘭縣,014,10002040,10002,ILA,ILA-040,ILA-040-014,A0204-014-00
10002040-015,新建里,頭城鎮,宜蘭縣,015,10002040,10002,ILA,ILA-040,ILA-040-015,A0204-015-00
10002040-016,拔雅里,頭城鎮,宜蘭縣,016,10002040,10002,ILA,ILA-040,ILA-040-016,A0204-016-00
10002040-017,福成里,頭城鎮,宜蘭縣,017,10002040,10002,ILA,ILA-040,ILA-040-017,A0204-017-00
10002040-018,金面里,頭城鎮,宜蘭縣,018,10002040,10002,ILA,ILA-040,ILA-040-018,A0204-018-00
10002040-019,金盈里,頭城鎮,宜蘭縣,019,10002040,10002,ILA,ILA-040,ILA-040-019,A0204-019-00
10002040-020,頂埔里,頭城鎮,宜蘭縣,020,10002040,10002,ILA,ILA-040,ILA-040-020,A0204-020-00
10002040-021,下埔里,頭城鎮,宜蘭縣,021,10002040,10002,ILA,ILA-040,ILA-040-021,A0204-021-00
10002040-022,中崙里,頭城鎮,宜蘭縣,022,10002040,10002,ILA,ILA-040,ILA-040-022,A0204-022-00
10002040-023,二城里,頭城鎮,宜蘭縣,023,10002040,10002,ILA,ILA-040,ILA-040-023,A0204-023-00
10002040-024,龜山里,頭城鎮,宜蘭縣,024,10002040,10002,ILA,ILA-040,ILA-040-024,A0204-024-00
10002050-001,白雲村,礁溪鄉,宜蘭縣,001,10002050,10002,ILA,ILA-050,ILA-050-001,A0205-001-00
10002050-002,玉石村,礁溪鄉,宜蘭縣,002,10002050,10002,ILA,ILA-050,ILA-050-002,A0205-002-00
10002050-003,德陽村,礁溪鄉,宜蘭縣,003,10002050,10002,ILA,ILA-050,ILA-050-003,A0205-003-00
10002050-004,大忠村,礁溪鄉,宜蘭縣,004,10002050,10002,ILA,ILA-050,ILA-050-004,A0205-004-00
10002050-005,大義村,礁溪鄉,宜蘭縣,005,10002050,10002,ILA,ILA-050,ILA-050-005,A0205-005-00
10002050-006,六結村,礁溪鄉,宜蘭縣,006,10002050,10002,ILA,ILA-050,ILA-050-006,A0205-006-00
10002050-007,二龍村,礁溪鄉,宜蘭縣,007,10002050,10002,ILA,ILA-050,ILA-050-007,A0205-007-00
10002050-008,時潮村,礁溪鄉,宜蘭縣,008,10002050,10002,ILA,ILA-050,ILA-050-008,A0205-008-00
10002050-009,玉田村,礁溪鄉,宜蘭縣,009,10002050,10002,ILA,ILA-050,ILA-050-009,A0205-009-00
10002050-010,三民村,礁溪鄉,宜蘭縣,010,10002050,10002,ILA,ILA-050,ILA-050-010,A0205-010-00
10002050-011,林美村,礁溪鄉,宜蘭縣,011,10002050,10002,ILA,ILA-050,ILA-050-011,A0205-011-00
10002050-012,白鵝村,礁溪鄉,宜蘭縣,012,10002050,10002,ILA,ILA-050,ILA-050-012,A0205-012-00
10002050-013,玉光村,礁溪鄉,宜蘭縣,013,10002050,10002,ILA,ILA-050,ILA-050-013,A0205-013-00
10002050-014,光武村,礁溪鄉,宜蘭縣,014,10002050,10002,ILA,ILA-050,ILA-050-014,A0205-014-00
10002050-015,吳沙村,礁溪鄉,宜蘭縣,015,10002050,10002,ILA,ILA-050,ILA-050-015,A0205-015-00
10002050-016,龍潭村,礁溪鄉,宜蘭縣,016,10002050,10002,ILA,ILA-050,ILA-050-016,A0205-016-00
10002050-017,匏崙村,礁溪鄉,宜蘭縣,017,10002050,10002,ILA,ILA-050,ILA-050-017,A0205-017-00
10002050-018,二結村,礁溪鄉,宜蘭縣,018,10002050,10002,ILA,ILA-050,ILA-050-018,A0205-018-00
10002060-001,吉祥村,壯圍鄉,宜蘭縣,001,10002060,10002,ILA,ILA-060,ILA-060-001,A0206-001-00
10002060-002,美福村,壯圍鄉,宜蘭縣,002,10002060,10002,ILA,ILA-060,ILA-060-002,A0206-002-00
10002060-003,新南村,壯圍鄉,宜蘭縣,003,10002060,10002,ILA,ILA-060,ILA-060-003,A0206-003-00
10002060-004,東港村,壯圍鄉,宜蘭縣,004,10002060,10002,ILA,ILA-060,ILA-060-004,A0206-004-00
10002060-005,復興村,壯圍鄉,宜蘭縣,005,10002060,10002,ILA,ILA-060,ILA-060-005,A0206-005-00
10002060-006,過嶺村,壯圍鄉,宜蘭縣,006,10002060,10002,ILA,ILA-060,ILA-060-006,A0206-006-00
10002060-007,永鎮村,壯圍鄉,宜蘭縣,007,10002060,10002,ILA,ILA-060,ILA-060-007,A0206-007-00
10002060-008,忠孝村,壯圍鄉,宜蘭縣,008,10002060,10002,ILA,ILA-060,ILA-060-008,A0206-008-00
10002060-009,古亭村,壯圍鄉,宜蘭縣,009,10002060,10002,ILA,ILA-060,ILA-060-009,A0206-009-00
10002060-010,功勞村,壯圍鄉,宜蘭縣,010,10002060,10002,ILA,ILA-060,ILA-060-010,A0206-010-00
10002060-011,美城村,壯圍鄉,宜蘭縣,011,10002060,10002,ILA,ILA-060,ILA-060-011,A0206-011-00
10002060-012,新社村,壯圍鄉,宜蘭縣,012,10002060,10002,ILA,ILA-060,ILA-060-012,A0206-012-00
10002060-013,大福村,壯圍鄉,宜蘭縣,013,10002060,10002,ILA,ILA-060,ILA-060-013,A0206-013-00
10002060-014,古結村,壯圍鄉,宜蘭縣,014,10002060,10002,ILA,ILA-060,ILA-060-014,A0206-014-00
10002070-001,員山村,員山鄉,宜蘭縣,001,10002070,10002,ILA,ILA-070,ILA-070-001,A0207-001-00
10002070-002,尚德村,員山鄉,宜蘭縣,002,10002070,10002,ILA,ILA-070,ILA-070-002,A0207-002-00
10002070-003,惠好村,員山鄉,宜蘭縣,003,10002070,10002,ILA,ILA-070,ILA-070-003,A0207-003-00
10002070-004,七賢村,員山鄉,宜蘭縣,004,10002070,10002,ILA,ILA-070,ILA-070-004,A0207-004-00
10002070-005,深溝村,員山鄉,宜蘭縣,005,10002070,10002,ILA,ILA-070,ILA-070-005,A0207-005-00
10002070-006,蓁巷村,員山鄉,宜蘭縣,006,10002070,10002,ILA,ILA-070,ILA-070-006,A0207-006-00
10002070-007,內城村,員山鄉,宜蘭縣,007,10002070,10002,ILA,ILA-070,ILA-070-007,A0207-007-00
10002070-008,中華村,員山鄉,宜蘭縣,008,10002070,10002,ILA,ILA-070,ILA-070-008,A0207-008-00
10002070-009,永和村,員山鄉,宜蘭縣,009,10002070,10002,ILA,ILA-070,ILA-070-009,A0207-009-00
10002070-010,頭分村,員山鄉,宜蘭縣,010,10002070,10002,ILA,ILA-070,ILA-070-010,A0207-010-00
10002070-011,枕山村,員山鄉,宜蘭縣,011,10002070,10002,ILA,ILA-070,ILA-070-011,A0207-011-00
10002070-012,同樂村,員山鄉,宜蘭縣,012,10002070,10002,ILA,ILA-070,ILA-070-012,A0207-012-00
10002070-013,湖東村,員山鄉,宜蘭縣,013,10002070,10002,ILA,ILA-070,ILA-070-013,A0207-013-00
10002070-014,逸仙村,員山鄉,宜蘭縣,014,10002070,10002,ILA,ILA-070,ILA-070-014,A0207-014-00
10002070-015,湖北村,員山鄉,宜蘭縣,015,10002070,10002,ILA,ILA-070,ILA-070-015,A0207-015-00
10002070-016,湖西村,員山鄉,宜蘭縣,016,10002070,10002,ILA,ILA-070,ILA-070-016,A0207-016-00
10002080-001,武淵村,冬山鄉,宜蘭縣,001,10002080,10002,ILA,ILA-080,ILA-080-001,A0208-001-00
10002080-002,珍珠村,冬山鄉,宜蘭縣,002,10002080,10002,ILA,ILA-080,ILA-080-002,A0208-002-00
10002080-003,補城村,冬山鄉,宜蘭縣,003,10002080,10002,ILA,ILA-080,ILA-080-003,A0208-003-00
10002080-004,三奇村,冬山鄉,宜蘭縣,004,10002080,10002,ILA,ILA-080,ILA-080-004,A0208-004-00
10002080-005,大興村,冬山鄉,宜蘭縣,005,10002080,10002,ILA,ILA-080,ILA-080-005,A0208-005-00
10002080-006,東城村,冬山鄉,宜蘭縣,006,10002080,10002,ILA,ILA-080,ILA-080-006,A0208-006-00
10002080-007,香和村,冬山鄉,宜蘭縣,007,10002080,10002,ILA,ILA-080,ILA-080-007,A0208-007-00
10002080-008,南興村,冬山鄉,宜蘭縣,008,10002080,10002,ILA,ILA-080,ILA-080-008,A0208-008-00
10002080-009,冬山村,冬山鄉,宜蘭縣,009,10002080,10002,ILA,ILA-080,ILA-080-009,A0208-009-00
10002080-010,安平村,冬山鄉,宜蘭縣,010,10002080,10002,ILA,ILA-080,ILA-080-010,A0208-010-00
10002080-011,太和村,冬山鄉,宜蘭縣,011,10002080,10002,ILA,ILA-080,ILA-080-011,A0208-011-00
10002080-012,八寶村,冬山鄉,宜蘭縣,012,10002080,10002,ILA,ILA-080,ILA-080-012,A0208-012-00
10002080-013,丸山村,冬山鄉,宜蘭縣,013,10002080,10002,ILA,ILA-080,ILA-080-013,A0208-013-00
10002080-014,中山村,冬山鄉,宜蘭縣,014,10002080,10002,ILA,ILA-080,ILA-080-014,A0208-014-00
10002080-015,順安村,冬山鄉,宜蘭縣,015,10002080,10002,ILA,ILA-080,ILA-080-015,A0208-015-00
10002080-016,永美村,冬山鄉,宜蘭縣,016,10002080,10002,ILA,ILA-080,ILA-080-016,A0208-016-00
10002080-017,群英村,冬山鄉,宜蘭縣,017,10002080,10002,ILA,ILA-080,ILA-080-017,A0208-017-00
10002080-018,清溝村,冬山鄉,宜蘭縣,018,10002080,10002,ILA,ILA-080,ILA-080-018,A0208-018-00
10002080-019,鹿埔村,冬山鄉,宜蘭縣,019,10002080,10002,ILA,ILA-080,ILA-080-019,A0208-019-00
