OBJECTID_1,COUNTY,COUNTY_ID,TOWN,TOWN_ID,VILLAGE,VILLAGE_ID,V_ID,TV_ALL,VILLCODE,AREA
7260,南投縣,10008,南投市,10008010,內興里,029,10008010-029,南投市內興里,A0801-029-00,5185838.8777
7261,南投縣,10008,南投市,10008010,平山里,023,10008010-023,南投市平山里,A0801-023-00,4006177.9431
7262,南投縣,10008,南投市,10008010,平和里,012,10008010-012,南投市平和里,A0801-012-00,689572.8313
7263,南投縣,10008,南投市,10008010,永興里,020,10008010-020,南投市永興里,A0801-020-00,2993246.4378
7264,南投縣,10008,南投市,10008010,永豐里,025,10008010-025,南投市永豐里,A0801-025-00,2419896.4423
7265,南投縣,10008,南投市,10008010,光明里,033,10008010-033,南投市光明里,A0801-033-00,1538441.7112
7266,南投縣,10008,南投市,10008010,光華里,031,10008010-031,南投市光華里,A0801-031-00,2219556.6578
7267,南投縣,10008,南投市,10008010,光榮里,032,10008010-032,南投市光榮里,A0801-032-00,1519406.103
7268,南投縣,10008,南投市,10008010,光輝里,034,10008010-034,南投市光輝里,A0801-034-00,277411.274
7269,南投縣,10008,南投市,10008010,東山里,011,10008010-011,南投市東山里,A0801-011-00,5476870.1583
7270,南投縣,10008,南投市,10008010,南投里,005,10008010-005,南投市南投里,A0801-005-00,55253.1149
7271,高雄市,64000,苓雅區,64000080,城北里,007,64000080-007,苓雅區城北里,A6408-007-00,65681.558
7272,南投縣,10008,埔里鎮,10008020,牛眠里,026,10008020-026,埔里鎮牛眠里,A0802-026-00,10506589.5899
7273,南投縣,10008,埔里鎮,10008020,北安里,030,10008020-030,埔里鎮北安里,A0802-030-00,362441.6017
7274,南投縣,10008,埔里鎮,10008020,北門里,004,10008020-004,埔里鎮北門里,A0802-004-00,204314.2281
7275,南投縣,10008,埔里鎮,10008020,北梅里,032,10008020-032,埔里鎮北梅里,A0802-032-00,1911780.9493
7276,南投縣,10008,埔里鎮,10008020,史港里,024,10008020-024,埔里鎮史港里,A0802-024-00,2168930.692
7277,南投縣,10008,埔里鎮,10008020,同聲里,005,10008020-005,埔里鎮同聲里,A0802-005-00,556854.8114
7278,南投縣,10008,埔里鎮,10008020,向善里,021,10008020-021,埔里鎮向善里,A0802-021-00,7184276.0648
7279,南投縣,10008,埔里鎮,10008020,合成里,029,10008020-029,埔里鎮合成里,A0802-029-00,14051566.306
7280,南投縣,10008,埔里鎮,10008020,成功里,016,10008020-016,埔里鎮成功里,A0802-016-00,10043815.7524
7281,南投縣,10008,南投市,10008010,軍功里,010,10008010-010,南投市軍功里,A0801-010-00,2146655.7875
7282,南投縣,10008,南投市,10008010,振興里,013,10008010-013,南投市振興里,A0801-013-00,4687061.0226
7283,南投縣,10008,南投市,10008010,崇文里,007,10008010-007,南投市崇文里,A0801-007-00,129143.5549
7284,南投縣,10008,南投市,10008010,康壽里,002,10008010-002,南投市康壽里,A0801-002-00,188266.2252
7285,南投縣,10008,南投市,10008010,新興里,024,10008010-024,南投市新興里,A0801-024-00,1490323.867
7286,高雄市,64000,新興區,64000060,新江里,019,64000060-019,新興區新江里,A6406-019-00,65602.3636
7287,南投縣,10008,南投市,10008010,嘉和里,018,10008010-018,南投市嘉和里,A0801-018-00,1976974.5199
7288,南投縣,10008,南投市,10008010,嘉興里,017,10008010-017,南投市嘉興里,A0801-017-00,5014833.3543
7289,南投縣,10008,南投市,10008010,彰仁里,006,10008010-006,南投市彰仁里,A0801-006-00,40875.4644
7290,南投縣,10008,南投市,10008010,漳和里,009,10008010-009,南投市漳和里,A0801-009-00,2890856.6577
7291,南投縣,10008,南投市,10008010,漳興里,008,10008010-008,南投市漳興里,A0801-008-00,540645.1871
7292,南投縣,10008,南投市,10008010,福山里,019,10008010-019,南投市福山里,A0801-019-00,4891445.3133
7293,南投縣,10008,南投市,10008010,福興里,026,10008010-026,南投市福興里,A0801-026-00,6316574.5057
7294,南投縣,10008,南投市,10008010,鳳山里,022,10008010-022,南投市鳳山里,A0801-022-00,3130636.7446
7295,南投縣,10008,南投市,10008010,鳳鳴里,021,10008010-021,南投市鳳鳴里,A0801-021-00,1806619.3146
7296,南投縣,10008,南投市,10008010,龍泉里,001,10008010-001,南投市龍泉里,A0801-001-00,150135.8153
7297,南投縣,10008,南投市,10008010,營北里,027,10008010-027,南投市營北里,A0801-027-00,1102804.1895
7298,南投縣,10008,南投市,10008010,營南里,028,10008010-028,南投市營南里,A0801-028-00,1505185.6213
7299,南投縣,10008,埔里鎮,10008020,一新里,022,10008020-022,埔里鎮一新里,A0802-022-00,6711448.02
7300,南投縣,10008,埔里鎮,10008020,大城里,008,10008020-008,埔里鎮大城里,A0802-008-00,1768462.1656
7301,南投縣,10008,埔里鎮,10008020,大湳里,027,10008020-027,埔里鎮大湳里,A0802-027-00,1045729.5632
7302,南投縣,10008,埔里鎮,10008020,水頭里,011,10008020-011,埔里鎮水頭里,A0802-011-00,7655474.5107
7303,南投縣,10008,竹山鎮,10008040,桂林里,007,10008040-007,竹山鎮桂林里,A0804-007-00,5340145.1313
7304,南投縣,10008,竹山鎮,10008040,桶頭里,025,10008040-025,竹山鎮桶頭里,A0804-025-00,16964609.2886
7305,南投縣,10008,竹山鎮,10008040,富州里,018,10008040-018,竹山鎮富州里,A0804-018-00,6636911.587
7306,南投縣,10008,竹山鎮,10008040,雲林里,004,10008040-004,竹山鎮雲林里,A0804-004-00,448583.4238
7307,南投縣,10008,竹山鎮,10008040,瑞竹里,023,10008040-023,竹山鎮瑞竹里,A0804-023-00,20407609.5079
7308,南投縣,10008,竹山鎮,10008040,福興里,021,10008040-021,竹山鎮福興里,A0804-021-00,9782057.6233
7309,南投縣,10008,竹山鎮,10008040,德興里,010,10008040-010,竹山鎮德興里,A0804-010-00,5009921.4432
7310,南投縣,10008,竹山鎮,10008040,鯉魚里,022,10008040-022,竹山鎮鯉魚里,A0804-022-00,13982597.4628
7311,南投縣,10008,信義鄉,10008120,人和村,001,10008120-001,信義鄉人和村,A0812-001-00,104760567.085
7312,南投縣,10008,信義鄉,10008120,同富村,009,10008120-009,信義鄉同富村,A0812-009-00,57884923.7498
7313,南投縣,10008,信義鄉,10008120,地利村,002,10008120-002,信義鄉地利村,A0812-002-00,268823609.101
7314,南投縣,10008,信義鄉,10008120,自強村,006,10008120-006,信義鄉自強村,A0812-006-00,29240573.2861
7315,南投縣,10008,信義鄉,10008120,明德村,004,10008120-004,信義鄉明德村,A0812-004-00,20169888.4433
7316,南投縣,10008,信義鄉,10008120,東埔村,011,10008120-011,信義鄉東埔村,A0812-011-00,391061950.484
7317,南投縣,10008,信義鄉,10008120,神木村,010,10008120-010,信義鄉神木村,A0812-010-00,56135430.8759
7318,南投縣,10008,信義鄉,10008120,望美村,008,10008120-008,信義鄉望美村,A0812-008-00,40875818.8272
7319,南投縣,10008,信義鄉,10008120,愛國村,005,10008120-005,信義鄉愛國村,A0812-005-00,11061569.9606
7320,南投縣,10008,信義鄉,10008120,新鄉村,013,10008120-013,信義鄉新鄉村,A0812-013-00,16377214.7717
7321,南投縣,10008,信義鄉,10008120,潭南村,003,10008120-003,信義鄉潭南村,A0812-003-00,15559248.0217
