ivid,blue,green
ILA-040-015,812,452
ILA-040-016,692,371
ILA-040-017,406,240
ILA-040-018,745,366
ILA-040-019,296,200
ILA-040-020,582,376
ILA-040-021,396,273
ILA-040-022,454,257
ILA-040-023,406,299
ILA-050-001,503,485
ILA-050-002,557,543
ILA-050-003,1380,911
ILA-050-004,928,550
ILA-050-005,240,248
ILA-050-006,600,403
ILA-050-007,350,462
ILA-050-008,415,547
ILA-050-009,437,866
ILA-050-010,798,810
ILA-050-011,366,465
ILA-050-012,236,258
ILA-050-013,239,420
ILA-050-014,353,409
ILA-050-015,719,891
ILA-050-016,669,1245
ILA-050-017,279,353
ILA-050-018,81,216
ILA-060-001,790,911
ILA-060-014,337,428
ILA-060-002,587,701
ILA-060-003,329,400
ILA-060-004,317,408
ILA-060-005,539,734
ILA-060-006,539,660
ILA-060-007,264,387
ILA-060-008,767,897
ILA-060-009,474,632
ILA-060-010,341,512
ILA-060-011,648,907
ILA-060-012,399,447
ILA-060-013,633,657
ILA-070-001,1477,1608
ILA-070-002,488,746
ILA-070-003,309,609
ILA-070-004,337,383
ILA-070-005,324,667
ILA-070-006,260,518
ILA-070-007,523,391
ILA-070-008,155,299
ILA-070-009,470,617
ILA-070-010,323,488
ILA-070-011,512,1020
ILA-070-012,669,1049
ILA-070-013,218,330
ILA-070-014,205,371
ILA-070-015,281,404
ILA-070-016,306,681
ILA-080-002,328,736
ILA-080-003,236,481
ILA-080-004,199,430
ILA-080-005,272,441
ILA-080-006,360,579
ILA-080-007,588,973
ILA-080-008,713,1034
ILA-080-010,142,382
ILA-080-009,211,332
ILA-080-011,375,656
ILA-080-012,204,379
ILA-080-013,308,619
ILA-080-014,109,243
ILA-080-015,1071,2061
ILA-080-016,658,1069
ILA-080-001,230,556
ILA-080-017,1221,2020
ILA-080-018,840,1406
ILA-080-019,550,1004
ILA-080-020,280,439
ILA-080-021,587,1008
ILA-080-022,385,684
ILA-080-023,318,585
ILA-080-024,195,439
ILA-090-001,379,841
ILA-090-002,532,662
ILA-090-003,528,975
ILA-090-004,420,589
ILA-090-005,317,512
ILA-090-006,701,895
ILA-090-007,384,761
ILA-090-008,840,1278
ILA-090-010,639,1246
ILA-090-009,788,1316
ILA-090-011,296,665
ILA-090-012,317,693
ILA-090-013,471,909
ILA-090-014,584,1208
ILA-090-015,649,1185
ILA-100-001,70,126
ILA-100-002,150,234
ILA-100-003,173,347
ILA-100-012,160,233
ILA-100-013,162,124
ILA-100-014,204,281
ILA-100-004,129,279
ILA-100-005,152,180
ILA-100-006,440,443
ILA-100-007,361,491
ILA-100-008,258,350
ILA-100-009,239,500
ILA-100-011,154,351
ILA-100-010,984,1457
ILA-100-015,265,589
ILA-100-016,207,403
ILA-100-017,308,787
ILA-100-018,269,679
ILA-110-001,449,144
ILA-110-002,331,68
ILA-110-003,344,135
ILA-110-004,129,68
ILA-110-005,180,73
ILA-110-006,214,50
ILA-110-007,24,32
ILA-110-010,126,27
ILA-110-008,509,68
ILA-110-009,347,147
