ivid,household,male,female
TPQ-020-059,552,756,724
TPQ-020-060,356,414,456
TPQ-020-061,1034,1375,1368
TPQ-020-062,792,1038,1030
TPQ-020-063,904,1232,1208
TPQ-020-064,643,853,882
TPQ-020-065,525,652,673
TPQ-020-066,804,1047,1139
TPQ-020-067,916,1304,1242
TPQ-020-068,1222,1750,1775
TPQ-020-069,767,1027,1025
TPQ-020-070,533,766,742
TPQ-020-071,747,914,925
TPQ-020-072,1199,1397,1493
TPQ-020-073,1207,1608,1618
TPQ-020-074,839,1064,1103
TPQ-020-075,881,1109,1115
TPQ-020-076,1794,2425,2490
TPQ-020-077,1480,2069,2022
TPQ-020-078,1968,2974,3062
TPQ-020-079,860,1251,1149
TPQ-020-080,649,1006,977
TPQ-020-081,909,1295,1326
TPQ-020-082,1481,2171,2108
TPQ-020-083,1394,1927,1983
TPQ-020-084,1151,1579,1649
TPQ-020-085,1220,1652,1731
TPQ-020-086,1424,2016,2038
TPQ-020-087,1905,2763,2802
TPQ-020-088,1265,1835,1859
TPQ-020-089,1979,2895,3054
TPQ-020-090,2074,3056,3266
TPQ-020-091,1539,2227,2334
TPQ-020-092,950,1414,1329
TPQ-020-093,3082,4065,4306
TPQ-020-094,1769,2351,2456
TPQ-020-095,1466,2242,2296
TPQ-020-096,1513,1921,2022
TPQ-020-097,1243,1718,1739
TPQ-020-098,932,1236,1221
TPQ-020-099,874,1223,1254
TPQ-020-100,828,1207,1209
TPQ-020-101,1360,1899,1966
TPQ-020-102,931,1362,1430
TPQ-020-103,1711,2532,2492
TPQ-020-104,1924,2544,2667
TPQ-020-105,2479,2893,3111
TPQ-020-106,1301,1746,1703
TPQ-020-107,774,1116,1176
TPQ-020-108,2757,3083,3392
TPQ-020-109,751,1001,904
TPQ-020-110,1622,2398,2521
TPQ-020-111,1636,1948,2191
TPQ-020-112,1165,1607,1653
TPQ-020-113,2121,3084,3099
TPQ-020-114,1830,2695,2882
TPQ-020-115,2081,3134,3216
TPQ-020-116,1243,1775,1762
TPQ-020-117,1445,2001,1984
TPQ-020-118,1696,2258,2313
TPQ-020-119,1413,2102,2092
TPQ-030-001,1931,2454,2531
TPQ-030-002,3775,4729,4963
TPQ-030-003,1627,2347,2251
TPQ-030-004,1569,2336,2360
TPQ-030-005,1564,2145,2219
TPQ-030-006,1433,1968,1979
TPQ-030-007,1187,1103,1293
TPQ-030-008,2597,3273,3465
TPQ-030-009,2433,3092,3289
TPQ-030-010,1429,1858,1934
TPQ-030-011,1465,1803,1858
TPQ-030-012,1759,2300,2423
TPQ-030-013,1705,2145,2193
TPQ-030-014,1737,2097,2251
TPQ-030-015,1734,2383,2371
TPQ-030-016,2069,2650,2699
TPQ-030-017,2130,2762,2889
TPQ-030-018,1476,1958,1949
