ivid,household,male,female
TXG-150-018,973,1647,1690
TXG-160-001,1148,2055,1874
TXG-160-002,683,1228,1205
TXG-160-003,859,1580,1516
TXG-160-004,635,1365,1209
TXG-160-005,2374,4361,4221
TXG-160-006,1714,3228,3143
TXG-160-007,869,1554,1430
TXG-160-008,980,1746,1675
TXG-160-009,1647,2360,2362
TXG-160-010,2445,4356,4065
TXG-160-011,800,1560,1536
TXG-160-012,872,1714,1588
TXG-160-013,839,1477,1344
TXG-160-014,1330,2645,2417
TXG-160-015,716,1283,1232
TXG-160-016,341,651,599
TXG-170-001,4480,6610,6825
TXG-170-002,497,875,804
TXG-170-003,911,1416,1438
TXG-170-004,3862,5686,5923
TXG-170-005,2056,3046,3105
TXG-170-006,3694,5391,5662
TXG-170-007,4279,6965,6865
TXG-170-008,878,1579,1411
TXG-170-009,2105,3331,3331
TXG-170-010,1650,2701,2596
TXG-170-011,1300,2348,2159
TXG-170-012,567,896,882
TXG-170-013,1364,2204,2098
TXG-170-014,1664,2381,2414
TXG-170-015,2933,3682,4137
TXG-170-016,1604,2415,2531
TXG-180-001,1626,2615,2717
TXG-180-002,3065,5470,5450
TXG-180-003,2261,3814,3633
TXG-180-004,1032,2037,1854
TXG-180-005,1623,2223,2117
TXG-180-006,1368,2475,2367
TXG-180-007,1696,3046,2992
TXG-180-008,1613,2930,2762
TXG-180-009,1959,3565,3417
TXG-180-010,2077,3486,3546
TXG-180-011,1621,2743,2776
TXG-180-012,2040,3235,3207
TXG-180-013,2217,3492,3653
TXG-180-014,1671,2809,2902
TXG-180-015,1337,2096,2220
TXG-190-001,1163,1981,1923
TXG-190-002,689,1229,1108
TXG-190-003,488,885,780
TXG-190-004,346,634,550
TXG-190-005,360,751,657
TXG-190-006,699,1213,1154
TXG-190-007,928,1825,1700
TXG-190-008,349,371,394
TXG-190-009,977,1818,1638
TXG-190-010,418,815,742
TXG-190-011,296,564,505
TXG-190-012,229,371,348
TXG-190-013,483,764,651
TXG-200-001,480,787,750
TXG-200-002,563,936,870
TXG-200-003,473,816,693
TXG-200-004,441,805,716
TXG-200-005,230,427,368
TXG-200-006,525,890,874
TXG-200-007,686,1168,1053
TXG-200-008,377,653,584
TXG-200-009,568,914,884
TXG-200-010,532,777,738
TXG-210-001,344,643,579
TXG-210-002,730,1236,1273
TXG-210-003,630,1243,1085
TXG-210-004,1483,2717,2573
TXG-210-005,1225,2024,1940
TXG-210-006,2237,3727,3618
TXG-210-007,454,873,773
TXG-210-008,351,693,695
TXG-210-009,752,1345,1276
TXG-210-010,481,1048,940
TXG-210-011,386,783,680
TXG-220-001,347,686,609
TXG-220-002,357,696,597
TXG-220-003,841,1653,1514
TXG-220-004,485,1007,893
TXG-220-005,375,751,642
TXG-220-006,411,764,696
TXG-220-007,283,564,546
TXG-220-008,570,1146,996
TXG-220-009,334,673,621
TXG-220-010,492,879,815
TXG-220-011,540,1065,978
TXG-220-012,278,549,469
TXG-230-001,3220,4736,4689
TXG-230-002,994,1529,1438
TXG-230-003,1652,2505,2273
TXG-230-004,1143,1756,1643
TXG-230-005,816,1381,1254
TXG-230-006,4945,7900,8141
TXG-230-007,2763,4335,4576
TXG-230-008,774,1452,1425
TXG-230-009,567,1048,970
TXG-230-010,783,1342,1275
TXG-230-011,644,1309,1148
TXG-230-012,1399,2726,2634
TXG-230-013,696,1217,1141
TXG-230-014,537,998,930
TXG-230-015,371,754,707
TXG-230-016,295,530,452
TXG-240-001,1377,2729,2519
TXG-240-002,269,548,499
TXG-240-003,1229,2224,2196
TXG-240-004,456,908,861
TXG-240-005,786,1512,1458
TXG-240-006,909,1664,1461
TXG-240-007,1098,1895,1761
TXG-240-008,660,1137,1126
TXG-240-009,299,552,496
TXG-240-010,537,978,892
TXG-240-011,513,1098,917
TXG-240-012,301,616,541
TXG-240-013,458,860,797
TXG-240-014,2725,4344,4342
TXG-240-015,1699,2897,2797
TXG-240-016,1634,2677,2626
TXG-240-017,1373,2031,2020
TXG-250-001,1003,1870,1754
TXG-250-002,911,1778,1640
TXG-250-003,630,1149,1183
TXG-250-004,1034,2101,1990
TXG-250-005,317,625,601
TXG-250-006,781,1462,1265
TXG-250-007,1515,3173,3001
TXG-250-008,912,1918,1806
TXG-250-009,1427,3036,2881
TXG-250-010,1925,3398,3271
TXG-250-011,2413,4066,3962
TXG-250-012,871,1554,1567
TXG-250-013,2065,3872,3774
TXG-250-014,491,1015,1007
TXG-250-015,1885,2713,2745
TXG-250-016,3231,4418,4584
TXG-260-001,421,740,658
TXG-260-002,3234,5324,5092
TXG-260-003,1769,2780,2629
TXG-260-004,828,1247,1214
TXG-260-005,795,1185,1176
TXG-260-006,444,724,668
TXG-260-007,382,671,638
TXG-260-008,2275,3375,3453
TXG-260-009,1089,1722,1669
TXG-260-010,1291,2301,2249
TXG-260-011,613,1168,1157
TXG-260-012,760,1454,1266
TXG-260-013,803,1605,1467
TXG-260-014,928,1616,1546
TXG-260-015,687,1301,1157
TXG-260-016,371,731,633
TXG-260-017,788,1483,1377
TXG-260-018,695,1405,1254
TXG-260-019,601,1217,1176
TXG-260-020,386,842,776
TXG-270-001,1979,3512,3292
TXG-270-002,2108,3350,3458
TXG-270-003,1502,2464,2421
TXG-270-004,1253,2085,2059
TXG-270-005,1083,1760,1760
TXG-270-006,1508,2347,2456
TXG-270-007,2244,3487,3495
TXG-270-008,1686,2255,2005
TXG-270-009,1230,1987,1922
TXG-270-010,1891,2821,2885
TXG-270-011,2655,3847,4013
TXG-270-012,2538,4067,4080
TXG-270-013,2183,2959,3266
TXG-270-014,687,1207,1134
TXG-270-015,465,751,660
TXG-270-016,1176,1990,1948
TXG-270-017,1086,1916,1793
TXG-270-018,1771,2892,2757
TXG-270-019,323,452,341
TXG-270-020,2328,3707,3841
TXG-270-021,1507,2368,2381
TXG-270-022,1419,2281,2259
TXG-270-023,949,1481,1571
TXG-270-024,1424,2242,2170
TXG-270-025,798,1362,1318
TXG-270-026,1201,1782,1743
TXG-270-027,959,1453,1509
TXG-270-028,1591,2238,2268
TXG-270-029,1928,3073,3048
TXG-270-030,2083,2928,3108
TXG-270-031,2357,3401,3572
TXG-270-032,1473,2182,2139
TXG-270-033,1510,2119,2190
TXG-270-034,1642,2503,2503
TXG-270-035,875,1422,1409
TXG-270-036,852,1253,1308
TXG-270-037,579,1007,845
TXG-270-038,1306,2086,2075
TXG-270-039,927,1572,1534
TXG-280-001,1256,2110,2010
TXG-280-002,3976,5974,5783
TXG-280-003,1132,2140,2073
TXG-280-004,2708,4174,4401
TXG-280-005,2833,3854,4078
TXG-280-006,1502,2259,2233
TXG-280-007,2127,3142,3338
TXG-280-008,3312,4411,4763
TXG-280-009,1204,1996,1875
TXG-280-010,1880,2941,2957
TXG-280-011,2758,4491,4521
TXG-280-012,1473,2471,2533
TXG-280-013,331,629,559
TXG-280-014,3015,5128,5132
TXG-280-015,1647,2681,2503
TXG-280-016,2900,4949,4694
TXG-280-017,4194,6994,7120
TXG-280-018,3776,5771,6098
TXG-280-019,3926,5574,5700
TXG-280-020,1030,1716,1678
TXG-280-021,2189,3458,3668
TXG-280-022,1744,2524,2616
TXG-280-023,3639,5476,6136
TXG-280-024,3380,4979,5483
TXG-280-025,2036,2921,3068
TXG-280-026,2739,4263,4280
TXG-280-027,2169,3674,3801
TXG-290-001,871,1151,991
TXG-290-002,232,277,241
TXG-290-003,792,977,925
TXG-290-004,215,269,210
TXG-290-005,477,658,560
TXG-290-006,474,702,580
TXG-290-007,989,1178,1002
TXG-290-008,351,504,369
TNN-010-001,2084,2790,2969
TNN-010-002,1200,1557,1569
TNN-010-003,1245,1711,1786
TNN-010-004,369,519,463
TNN-010-005,577,727,646
TNN-010-006,452,588,605
TNN-010-007,1348,1866,1911
TNN-010-008,1714,2596,2614
TNN-010-009,523,740,759
TNN-010-010,574,961,863
TNN-010-011,200,234,229
TNN-010-012,1176,1463,1488
TNN-010-013,730,831,975
TNN-010-014,1395,1996,2017
TNN-010-015,2014,2584,2783
TNN-010-016,687,1055,1053
TNN-010-017,609,879,823
TNN-010-018,688,951,837
TNN-010-019,700,1060,991
TNN-010-020,1486,2154,2181
TNN-010-021,703,1046,1053
TNN-010-022,154,202,165
TNN-010-023,211,273,247
TNN-010-024,334,440,381
TNN-010-025,432,599,535
TNN-010-026,260,352,294
TNN-010-027,1824,2668,2730
TNN-010-028,1850,2604,2751
TNN-010-029,2421,3681,3858
TNN-020-001,641,932,875
TNN-020-002,301,397,369
TNN-020-003,169,203,199
TNN-020-004,270,341,328
TNN-020-005,224,305,282
TNN-020-006,161,206,184
TNN-020-007,361,462,463
TNN-020-008,1579,2192,2191
TNN-020-009,339,507,451
TNN-020-010,437,635,462
TNN-020-011,1538,2156,2122
TNN-020-012,381,538,487
TNN-020-013,354,479,408
TNN-020-014,783,1050,961
TNN-020-015,238,313,291
TNN-020-016,141,194,174
TNN-020-017,308,428,343
TNN-020-018,216,259,234
TNN-020-019,340,487,447
TNN-020-020,174,243,213
TNN-020-021,115,152,127
TNN-020-022,160,212,177
TNN-020-023,174,257,212
TNN-020-024,241,341,276
TNN-020-025,398,570,482
TNN-030-001,774,1088,1056
TNN-030-002,1238,1744,1780
TNN-030-003,616,876,811
TNN-030-004,692,1039,940
TNN-030-005,372,567,539
TNN-030-006,566,832,746
TNN-030-007,208,277,237
TNN-030-008,271,391,316
TNN-030-009,189,241,242
TNN-030-010,240,354,291
TNN-030-011,711,917,712
TNN-030-012,505,639,608
TNN-030-013,490,786,690
TNN-030-014,583,914,837
TNN-030-015,371,546,517
TNN-030-016,279,407,370
TNN-030-017,349,571,492
TNN-030-018,392,573,502
TNN-030-019,323,487,397
TNN-030-020,541,882,832
TNN-030-021,314,466,432
TNN-030-022,337,465,381
TNN-030-023,391,516,489
TNN-030-024,274,405,309
TNN-040-001,703,990,920
TNN-040-002,776,1164,1067
TNN-040-003,321,438,409
TNN-040-004,1121,1565,1568
TNN-040-005,582,851,752
TNN-040-006,341,461,460
TNN-040-007,655,927,872
TNN-040-008,756,1137,1011
TNN-040-009,568,853,751
TNN-040-010,292,404,386
TNN-040-011,563,880,790
TNN-040-012,472,793,646
TNN-040-013,669,1067,911
TNN-050-001,675,990,953
TNN-050-002,529,858,795
TNN-050-003,516,794,703
TNN-050-004,508,812,729
TNN-050-005,446,725,638
TNN-050-006,420,751,661
TNN-050-007,371,470,448
TNN-050-008,220,285,267
TNN-050-009,241,351,296
TNN-050-010,629,869,822
TNN-050-011,712,981,944
TNN-050-012,497,730,735
TNN-050-013,519,755,663
TNN-050-014,508,725,684
TNN-050-015,336,467,415
TNN-050-016,172,287,241
TNN-050-017,312,409,426
TNN-050-018,185,239,216
TNN-050-019,513,669,578
TNN-050-020,220,309,287
TNN-050-021,413,622,554
TNN-060-001,637,874,848
TNN-060-002,1059,1507,1453
TNN-060-003,694,939,841
TNN-060-004,445,583,553
TNN-060-005,482,705,614
TNN-060-006,631,815,710
TNN-060-007,412,578,500
TNN-060-008,190,308,229
TNN-060-009,231,272,207
TNN-060-010,171,244,183
TNN-060-011,908,1385,1254
TNN-060-012,273,447,393
TNN-060-013,460,740,616
TNN-060-014,460,701,583
TNN-060-015,396,609,500
TNN-060-016,830,1159,1080
TNN-070-001,270,384,357
TNN-070-002,235,335,345
TNN-070-003,995,1524,1566
TNN-070-004,968,1486,1463
TNN-070-005,620,913,923
TNN-070-006,840,1171,1190
TNN-070-007,589,940,930
TNN-070-008,493,712,725
TNN-070-009,1388,2171,2166
TNN-070-010,485,716,632
TNN-070-011,1151,1753,1719
TNN-070-012,267,428,378
TNN-070-013,294,461,442
TNN-070-014,956,1421,1368
TNN-070-015,654,994,929
TNN-070-016,405,611,590
TNN-070-017,547,833,810
TNN-070-018,247,369,337
TNN-070-019,451,627,551
TNN-070-020,217,312,267
TNN-070-021,565,742,680
TNN-070-022,430,659,610
TNN-070-023,240,399,358
TNN-070-024,282,380,355
TNN-070-025,290,439,417
TNN-070-026,346,541,460
TNN-070-027,308,537,469
TNN-070-028,366,564,540
TNN-070-029,451,705,698
TNN-080-001,415,524,479
TNN-080-002,1166,1762,1664
TNN-080-003,483,685,616
TNN-080-004,646,926,904
TNN-080-005,1024,1462,1389
TNN-080-006,926,1268,1293
TNN-080-007,403,528,480
TNN-080-008,355,487,429
TNN-080-009,490,712,671
TNN-080-010,461,705,625
TNN-080-011,761,1181,1142
TNN-080-012,383,590,487
TNN-080-013,590,852,771
TNN-080-014,502,695,652
TNN-080-015,530,769,738
TNN-090-001,1185,1799,1806
TNN-090-002,1030,1656,1561
TNN-090-003,591,870,853
TNN-090-004,445,699,643
TNN-090-005,358,599,549
TNN-090-006,1244,2081,1902
TNN-090-007,769,1344,1262
TNN-090-008,677,1029,961
TNN-090-009,493,699,633
TNN-090-010,259,379,338
TNN-090-011,338,541,396
TNN-090-012,351,409,319
TNN-100-001,852,1245,1163
TNN-100-002,1172,1724,1684
TNN-100-003,417,612,543
TNN-100-004,135,188,141
TNN-100-005,201,290,225
TNN-100-006,880,1133,1200
TNN-100-007,1317,1834,1862
TNN-100-008,477,709,673
TNN-100-009,512,856,759
TNN-100-010,253,407,354
TNN-100-011,242,314,310
TNN-100-012,906,1288,1248
TNN-100-013,371,567,526
TNN-110-001,493,631,576
TNN-110-002,318,432,391
TNN-110-003,658,927,868
TNN-110-004,419,604,509
TNN-110-005,361,490,477
TNN-110-006,254,423,352
TNN-110-007,466,647,525
TNN-110-008,357,505,412
TNN-110-009,428,566,459
TNN-110-010,271,391,319
TNN-120-001,762,1022,1122
TNN-120-002,1159,1771,1833
TNN-120-003,2065,3268,3270
TNN-120-004,3274,4652,4879
TNN-120-005,4445,6712,7085
TNN-120-006,1657,2293,2367
TNN-120-007,821,1273,1254
TNN-120-008,366,542,533
TNN-120-009,513,771,717
TNN-120-010,276,399,375
TNN-120-011,158,242,216
TNN-120-012,569,874,862
TNN-120-013,300,430,452
TNN-120-014,371,570,526
TNN-120-015,379,558,533
TNN-120-016,395,624,572
TNN-120-017,347,517,455
TNN-120-018,412,619,585
TNN-120-019,540,840,799
TNN-120-020,657,927,847
TNN-120-021,373,572,545
TNN-130-001,1606,2298,2446
TNN-130-002,830,1244,1284
TNN-130-003,547,791,721
TNN-130-004,378,551,452
TNN-130-005,794,1162,1143
TNN-130-006,969,1461,1398
TNN-130-007,826,1227,1126
TNN-130-008,554,816,746
TNN-130-009,514,711,599
TNN-130-010,906,1299,1251
TNN-130-011,439,639,618
TNN-130-012,645,918,776
TNN-130-013,658,893,843
TNN-140-001,1227,1905,1967
TNN-140-002,851,1410,1364
TNN-140-003,562,935,863
TNN-140-004,586,997,905
TNN-140-005,512,861,837
TNN-140-006,519,838,758
TNN-140-007,290,486,446
TNN-140-008,514,752,735
TNN-140-009,466,718,676
TNN-140-010,392,641,581
TNN-140-011,382,628,604
TNN-140-012,1646,2504,2569
TNN-150-001,214,345,289
TNN-150-002,298,400,356
TNN-150-003,208,279,263
TNN-150-004,338,547,489
TNN-150-005,387,533,452
TNN-150-006,244,298,236
TNN-150-007,206,258,220
TNN-150-008,665,1039,1001
TNN-150-009,209,207,205
TNN-150-010,329,592,563
TNN-150-011,322,548,488
TNN-150-012,677,1078,1059
TNN-150-013,371,650,587
TNN-150-014,300,457,406
TNN-150-015,458,712,646
TNN-150-016,242,351,385
TNN-150-017,317,437,425
TNN-150-018,262,398,379
TNN-150-019,446,668,625
TNN-150-020,266,434,414
TNN-150-021,345,597,552
TNN-150-022,480,914,770
TNN-150-023,525,866,772
TNN-160-001,437,623,657
TNN-160-002,553,829,802
TNN-160-003,410,586,557
TNN-160-004,640,916,946
TNN-160-005,382,564,510
TNN-160-006,417,581,544
TNN-160-007,463,645,577
TNN-160-008,309,406,341
TNN-160-009,253,350,344
TNN-160-010,292,397,365
TNN-160-011,244,350,334
TNN-160-012,171,269,222
TNN-160-013,387,549,464
TNN-160-014,300,391,362
TNN-160-015,501,831,827
TNN-160-016,433,678,734
TNN-160-017,771,1120,1095
TNN-160-018,454,563,611
TNN-170-001,535,796,777
TNN-170-002,203,322,295
TNN-170-003,266,436,486
TNN-170-004,317,444,457
TNN-170-005,374,518,519
TNN-170-006,509,631,563
TNN-170-007,498,734,711
TNN-170-008,292,380,365
TNN-170-009,370,478,413
TNN-170-010,312,399,365
TNN-170-011,330,423,455
TNN-170-012,166,210,222
TNN-170-013,226,287,315
TNN-180-001,717,1074,1058
TNN-180-002,1624,2422,2355
TNN-180-003,680,1106,1053
TNN-180-004,1588,2532,2494
TNN-180-005,181,232,247
TNN-180-006,238,318,330
TNN-180-007,175,262,222
TNN-180-008,373,601,561
TNN-180-009,1216,2012,1993
TNN-180-010,747,1266,1231
TNN-180-011,557,844,805
TNN-180-012,1136,1866,1789
TNN-180-013,975,1603,1564
TNN-180-014,666,1234,1028
TNN-180-015,850,1349,1221
TNN-180-016,544,920,852
TNN-180-017,193,290,253
TNN-180-018,786,1341,1275
TNN-180-019,321,590,522
TNN-180-020,418,661,539
TNN-190-001,519,648,644
TNN-190-002,1527,2271,2440
TNN-190-003,2262,3134,3246
TNN-190-004,1106,1581,1598
TNN-190-005,719,1037,1079
TNN-190-006,282,390,382
TNN-190-007,224,312,247
TNN-190-008,671,990,945
TNN-190-009,478,799,736
TNN-190-010,801,1151,1108
TNN-190-011,492,738,714
TNN-190-012,722,1088,1078
TNN-190-013,306,422,394
TNN-190-014,424,656,631
TNN-190-015,692,1072,990
TNN-190-016,350,556,509
TNN-190-017,427,646,592
TNN-190-018,566,892,844
TNN-190-019,562,922,817
TNN-190-020,398,641,600
TNN-190-021,1935,2594,2602
TNN-200-001,1085,1590,1632
TNN-200-002,2353,3563,3515
TNN-200-003,855,1406,1422
TNN-200-004,266,426,408
TNN-200-005,374,582,579
TNN-200-006,558,950,1008
TNN-200-007,1126,1795,1782
TNN-200-008,1590,2716,2517
TNN-200-009,686,1095,989
TNN-200-010,1223,2009,2017
TNN-200-011,1101,1593,1623
TNN-210-001,820,1317,1225
TNN-210-002,788,1232,1195
TNN-210-003,582,921,847
TNN-210-004,514,831,754
TNN-210-005,321,474,446
TNN-210-006,566,986,943
TNN-210-007,658,983,920
TNN-210-008,1024,1678,1644
TNN-210-009,907,1509,1356
TNN-210-010,257,435,379
TNN-210-011,525,917,861
TNN-210-012,266,422,392
TNN-210-013,912,1414,1344
TNN-210-014,889,1577,1438
TNN-210-015,313,580,517
TNN-210-016,242,363,386
TNN-220-001,758,1080,1009
TNN-220-002,653,984,898
TNN-220-003,383,563,548
TNN-220-004,372,564,510
TNN-220-005,250,349,294
TNN-220-006,160,224,197
TNN-220-007,155,244,203
TNN-230-001,357,467,478
TNN-230-002,1708,2510,2417
TNN-230-003,484,781,713
TNN-230-004,569,874,825
TNN-230-005,227,330,272
TNN-230-006,215,344,265
TNN-230-007,293,475,444
TNN-230-008,603,996,837
TNN-230-009,278,424,364
TNN-230-010,388,621,567
TNN-240-001,765,1129,1043
TNN-240-002,484,776,630
TNN-240-003,298,473,384
TNN-240-004,425,673,530
TNN-240-005,395,596,556
TNN-240-006,266,424,345
TNN-240-007,916,1368,1321
TNN-250-001,578,861,767
TNN-250-002,282,532,413
TNN-250-003,160,293,220
TNN-250-004,217,360,299
TNN-250-005,245,438,366
TNN-250-006,292,530,422
TNN-250-007,439,773,645
TNN-250-008,353,593,510
TNN-250-009,266,441,359
TNN-260-001,187,252,200
TNN-260-002,269,405,341
TNN-260-003,210,300,267
TNN-260-004,364,480,436
TNN-260-005,137,254,170
TNN-260-006,183,292,197
TNN-260-007,235,345,260
TNN-260-008,177,270,214
TNN-260-009,130,210,141
TNN-260-010,100,137,94
TNN-270-001,2066,3071,2918
TNN-270-002,1037,1547,1450
TNN-270-003,1104,1598,1497
TNN-270-004,3016,4000,3812
TNN-270-005,3684,5272,5218
TNN-270-006,1319,1887,1869
TNN-270-007,3447,5023,4932
TNN-270-008,2002,3017,2960
TNN-270-009,573,851,780
TNN-270-010,313,441,437
TNN-270-011,1166,1580,1504
TNN-270-012,1922,2560,2394
TNN-270-013,418,362,362
TNN-270-014,912,1034,946
TNN-270-015,879,1253,1197
TNN-270-016,860,1288,1250
TNN-270-017,534,813,721
TNN-270-018,517,852,745
TNN-280-001,2156,3566,3517
TNN-280-002,1450,2193,2104
TNN-280-003,896,1373,1394
TNN-280-004,1259,2048,2019
TNN-280-005,1254,1925,1938
TNN-280-006,1224,1969,1942
TNN-280-007,755,1189,1165
TNN-280-008,632,1047,1008
TNN-280-009,995,1699,1615
TNN-280-010,249,422,355
TNN-280-011,644,1076,1021
TNN-280-012,959,1234,853
TNN-280-013,959,1521,1506
TNN-280-014,1163,1751,1667
TNN-280-015,831,1283,1193
TNN-280-016,586,961,885
TNN-280-017,995,1521,1451
TNN-280-018,1461,2499,2474
TNN-280-019,897,1455,1410
TNN-280-020,855,1391,1384
TNN-280-021,1157,1869,1904
TNN-290-001,758,1300,1156
TNN-290-002,746,1219,1156
TNN-290-003,1225,1995,1924
TNN-290-004,887,1501,1365
TNN-290-005,354,643,549
TNN-290-006,293,453,381
TNN-290-007,1071,1876,1749
TNN-290-008,1101,1986,1818
TNN-290-009,660,1098,1139
TNN-290-010,528,888,839
TNN-290-011,754,1271,1260
TNN-290-012,573,989,918
TNN-290-013,459,784,722
TNN-290-014,276,483,398
TNN-290-015,311,507,456
TNN-290-016,649,989,909
TNN-290-017,178,291,253
TNN-300-001,464,710,630
TNN-300-002,272,414,343
TNN-300-003,84,107,80
TNN-300-004,145,225,181
TNN-300-005,139,213,160
TNN-300-006,136,185,151
TNN-300-007,186,253,218
TNN-300-008,162,241,217
TNN-310-001,2518,3205,3533
TNN-310-002,2721,3700,3886
TNN-310-003,3883,5193,4980
TNN-310-004,3916,5864,5881
TNN-310-005,2354,3325,3551
TNN-310-006,834,1443,1426
TNN-310-007,1032,1556,1506
TNN-310-008,683,1056,1016
TNN-310-009,546,901,805
TNN-310-010,3508,4835,4957
TNN-310-011,990,1398,1465
TNN-310-012,1346,2075,2134
TNN-310-013,1331,2229,2177
TNN-310-014,2803,4309,4467
TNN-310-015,1447,2378,2235
TNN-310-016,2466,3750,3856
TNN-310-017,3247,5187,5059
TNN-310-018,530,879,818
TNN-310-019,970,1162,1105
TNN-310-020,3265,4456,4445
TNN-310-021,1005,1150,1192
TNN-310-022,636,739,737
TNN-310-023,2375,3802,3715
TNN-310-024,1018,1189,1215
TNN-310-025,1338,1868,1897
TNN-310-026,3201,3855,4130
TNN-310-027,4163,6106,6128
TNN-310-028,282,306,269
TNN-310-029,2252,3376,3346
TNN-310-030,3166,4572,4662
TNN-310-031,2569,2844,3217
TNN-310-032,1436,2076,2002
TNN-310-033,1963,2630,2609
TNN-310-034,2247,2629,2997
TNN-310-035,1325,1753,2010
TNN-310-036,1559,2298,2311
TNN-310-037,3937,5427,5539
TNN-310-038,2916,4536,4630
TNN-310-039,1279,1451,1550
TNN-320-001,995,1231,1415
TNN-320-002,1421,1803,1994
TNN-320-003,2680,3777,3892
TNN-320-004,1264,1739,1836
TNN-320-005,2267,2754,2901
TNN-320-006,2100,2560,2753
TNN-320-007,1428,1868,1939
TNN-320-008,2420,3134,3404
TNN-320-009,1159,1367,1556
TNN-320-010,1620,1989,2193
TNN-320-011,742,960,929
TNN-320-012,2029,2501,2835
TNN-320-013,2401,2895,3281
TNN-320-014,1927,2329,2572
TNN-320-015,822,824,1017
TNN-320-016,783,903,935
TNN-320-017,1793,2755,2816
TNN-320-018,853,977,1026
TNN-320-019,2234,2800,3173
TNN-320-020,1904,2509,2709
TNN-320-021,999,1210,1331
TNN-320-022,2084,2728,2891
TNN-320-023,645,782,863
TNN-320-024,2209,2451,2862
TNN-320-025,2087,2966,3114
TNN-320-026,1167,1771,1652
TNN-320-027,1819,2325,2581
TNN-320-028,942,1191,1149
TNN-320-029,1959,2583,2545
TNN-320-030,1341,1496,1707
TNN-320-031,1584,1966,2119
TNN-320-032,2006,2884,3221
TNN-320-033,945,1349,1363
TNN-320-034,1137,1359,1522
TNN-320-035,1329,1877,2126
TNN-320-036,961,1126,1251
TNN-320-037,1141,1331,1307
TNN-320-038,1463,1754,1706
TNN-320-039,1863,2302,2684
TNN-320-040,2293,2691,2718
TNN-320-041,2802,3916,4299
TNN-320-042,1409,2088,2281
TNN-320-043,1854,2837,2930
TNN-320-044,1110,1680,1678
TNN-320-045,1797,2670,2878
TNN-330-001,798,897,1001
TNN-330-002,122,113,67
TNN-330-003,238,272,231
TNN-330-004,370,455,483
TNN-330-005,965,1351,1357
TNN-330-006,1080,1293,1360
TNN-330-007,1232,1597,1710
TNN-330-008,1397,1890,1979
TNN-330-009,1275,1732,1839
TNN-330-010,842,1238,1144
TNN-330-011,1799,2444,2491
TNN-330-012,710,1120,1043
TNN-330-013,1389,2108,2204
TNN-330-014,744,1232,1103
TNN-330-015,816,1366,1271
TNN-330-016,525,830,726
TNN-330-017,955,1737,1631
TNN-330-018,658,1239,1149
TNN-330-019,770,1397,1295
TNN-330-020,855,1531,1424
TNN-330-021,1075,1227,1322
TNN-330-022,1898,2636,2670
TNN-330-023,1456,1960,1961
TNN-330-024,1840,1712,1872
TNN-330-025,1004,1379,1419
TNN-330-026,1327,1975,2022
TNN-330-027,1310,1884,2016
TNN-330-028,2154,2864,3030
TNN-330-029,1365,1685,1457
TNN-330-030,2442,3350,3450
TNN-330-031,703,985,986
TNN-330-032,1798,2935,2790
TNN-330-033,1370,2114,2121
TNN-330-034,1804,2661,2765
TNN-330-035,1993,2770,3005
TNN-330-036,698,1090,998
TNN-330-037,649,1172,1047
TNN-330-038,677,1189,1025
TNN-330-039,1059,1438,1449
TNN-340-001,915,1226,1276
TNN-340-002,822,987,997
TNN-340-003,517,642,618
TNN-340-004,886,1233,1206
TNN-340-005,1030,1403,1421
TNN-340-006,939,1149,1215
TNN-340-007,849,1015,1018
TNN-340-008,928,1058,1095
TNN-340-009,498,554,569
TNN-340-010,288,321,309
TNN-340-011,1194,1198,1353
TNN-340-012,746,794,846
TNN-340-013,970,1136,1239
TNN-340-014,878,1256,1178
TNN-340-015,589,852,803
TNN-340-016,702,940,961
TNN-340-017,581,778,763
TNN-340-018,1754,2554,2624
TNN-340-019,1000,1210,1249
TNN-340-020,3262,3763,4433
TNN-340-021,611,926,865
TNN-340-022,1094,1431,1446
TNN-340-023,1368,1857,1863
TNN-340-024,1817,2569,2783
TNN-340-025,2508,3920,4082
TNN-340-026,2039,3259,3298
TNN-340-027,660,826,847
TNN-340-028,642,843,854
TNN-340-029,533,729,733
TNN-340-030,733,917,924
TNN-340-031,1352,1505,1583
TNN-340-032,709,867,859
TNN-340-033,976,963,1032
TNN-340-034,709,886,895
TNN-340-035,606,769,780
TNN-340-036,554,709,708
TNN-340-037,892,999,751
TNN-340-038,1606,1499,1875
TNN-340-039,1215,1731,1709
TNN-340-040,5006,7252,7769
TNN-340-041,1359,2060,2109
TNN-340-042,1352,2141,2186
TNN-340-043,1441,2098,2207
TNN-350-001,592,792,785
TNN-350-002,1666,2742,2673
TNN-350-003,1709,2888,2836
TNN-350-004,1604,2884,2712
TNN-350-005,1570,2749,2786
TNN-350-006,1074,1711,1620
TNN-350-007,1176,1817,1765
TNN-350-008,1572,2399,2327
TNN-350-009,2146,3373,3285
TNN-350-010,2177,3511,3445
TNN-350-011,798,1285,1216
TNN-350-012,635,1120,993
TNN-350-013,1448,2519,2416
TNN-350-014,408,740,685
TNN-350-015,1946,3108,3008
TNN-350-016,951,1584,1451
TNN-350-017,736,1205,1130
TNN-350-018,2834,4207,3896
TNN-350-019,560,843,797
TNN-350-020,1608,2627,2522
TNN-350-021,1138,1847,1826
TNN-350-022,1141,1903,1746
TNN-350-023,622,1058,999
TNN-350-024,307,571,531
TNN-350-025,569,950,864
