"SITE_CODE","SITE","HSCITY","DISTRICT","SITE_NORTH_LAT","SITE_EAST_LONG","SITE_ENG","HSCITY_ENG"
76,阿里山,嘉義縣,阿 里 山,"23,30,30.82","120,48,05.02",Alishan,Chiayi County
77,金門,金門縣,金 城 鎮,"24,25,55.68","118,18,44.12",Kinmen,Kinmen County
78,馬公,澎湖縣, 馬公,"23,34,08.51","119,33,58.17",Magong,Penghu County
80,關山,台東縣,關山鎮,"23,02,42.3","121,09,42.96",Guanshan,TaiTung County
82,鹿林山,嘉義縣,阿 里 山,"23,28,14.19","120,52,50.06",Lulin,Chiayi County
83,麥寮,雲林縣,麥 寮 鄉,"23,45,12.62","120,15,6.57",Mailiao,YunLin County
401,台東仁愛,台東縣,台 東 市,"22,45,24.2","121,9,28.2",EBAM401,TaiTung County
402,台中泰安,台中市,后 里 區,"24,19,31.1","120,45,1.6",EBAM402,TaiChung City 
403,彰化新庄,彰化縣,和 美 鎮,"24,6,15.4","120,32,3.6",EBAM403,ChangHua County
404,雲林旭光,雲林縣,二 崙 鄉,"23,48,18.1","120,21,56.4",EBAM404,YunLin County
405,雲林義賢,雲林縣,二 崙 鄉,"23,49,1.9","120,24,50",EBAM405,YunLin County
406,金門金寧,金門縣,金 寧 鎮,,,,,,,EBAM406,Kinmen County
407,東沙,高雄市,旗 津 區,,,,,,,EBAM407,KaoHsiung City
408,馬祖東引,連江縣,東 引 鄉,,,,,,,EBAM408,Lienchiang County
409,金門金沙,金門縣,金 沙 鎮,,,,,,,EBAM409,Kinmen County
411,嘉義六腳,嘉義縣,朴 子 市,,,,,,,EBAM411,Chiayi County
412,雲林元長,雲林縣,斗 六 市,,,,,,,EBAM412,YunLin County
413,高雄大樹,高雄市,大 樹 區,"22,39,24.87","120,25,22.17",EBAM413,KaoHsiung City
414,屏東玉田,屏東縣,里 港 鄉,"22,46,27.10","120,29,28.54",EBAM414,PingTung County 
