65000030-017,瓦磘里
65000030-054,灰磘里
65000040-045,新廍里
65000070-007,獇寮里
65000200-004,石𥕢里
63000070-015,糖廍里
66000080-013,廍子里
66000210-011,廍子里
66000220-004,龜壳里
66000240-016,蔗廍里
67000010-022,舊廍里
67000050-016,後廍里
67000070-015,寮廍里
67000100-008,南廍里
67000120-014,頂廍里
67000140-004,檨林里
67000180-018,𦰡拔里
67000300-008,石𥕢里
67000350-003,塭南里
67000350-024,公塭里
64000030-027,廍北里
64000030-028,廍南里
10007010-002,下廍里
10007010-030,磚磘里
10007010-059,寶廍里
10007140-003,廍子村
10007140-010,瓦磘村
10007230-013,頂廍村
10008040-005,硘磘里
10008060-012,廍下村
10009130-003,瓦磘村
10009170-018,瓦磘村
10009180-016,箔子村
10009180-021,箔東村
10009200-021,𣐤埔村
10013030-017,下廍里
10013090-012,三廍村
10013170-001,瓦磘村
10016010-031,嵵裡里
10020020-018,磚磘里
10009010-018,崙峯里
10009060-011,公舘里
10009040-027,公舘里
